pmcid,figure_name,figure_caption,entities
PMC8391798,cr1c00107_0006.jpg,"Supervised learning algorithms have to
balance two sources of error
during training: the bias and variance of the model. A highly biased
model is based on flawed assumptions about the problem at hand (under-fitting).
Conversely, a high variance causes a model to follow small variations
in the data too closely, therefore making it susceptible to picking
up random noise (overfitting). The optimal bias-variance trade-off
minimizes the generalization error of the model, for example, how
well it performs on unknown data. It can be estimated with cross-validation
techniques.",
PMC8391798,cr1c00107_0007.jpg,"KPCA maps of
carbon atom environments in the QM9 database. Maps
are color-coded according to Mulliken charges (a), hybridization (b),
whether atoms are found in rings (c) and according to local energies
predicted by a machine learning potential (d). Reprinted with permission
from ref. Copyright
2020 American Chemical Society.",
PMC8391798,cr1c00107_0008.jpg,"Learning curves of various properties contained in the
QM9 database,
reporting the predictive accuracy of various models as a function
of training set sizes. Each curve represents an individual model based
on a different architecture and descriptor. Shown are learning curves
for the internal energy (U0), HOMO and
LUMO energies (ÏµHOMO, ÏµLUMO), the
HOMOâLUMO gap (ÎÏµ), the length of the dipole moment
vector (Î¼), the isotropic polarizability (Î±), the zero
point vibrational energy (ZPVE), heat capacity (CV), and the highest fundamental vibrational frequency
(Ï1). Reprinted with permission from ref. Copyright 2020 American
Chemical Society.",
PMC8391798,cr1c00107_0009.jpg,"KPCA maps of the QM9 database using a global
SOAP kernel. The maps
are color-coded according to atomization energy per atom (a), composition
(b), number of carbon atoms in the molecule (c), total number of atoms
in the molecule (d), HOMOâLUMO gap Ïµgap (e), HOMO energies ÏµHOMO (f), and
the number of atoms in a ring (g). Examples of molecules along various
âpathsâ in panel a are illustrated. Reprinted with permission
from ref. Copyright
2020 American Chemical Society.",
PMC8391798,cr1c00107_0010.jpg,"NN predictions compared to TD-DFT derived
data of log kTADF (R2 = 0.94). ML models
computed molecular properties needed for screening with an accuracy
comparable to CompChem calculations, but at a fraction of the computational
cost. Reprinted by permission from GÃ³mez-Bombarelli, R.; Aguilera-Iparraguirre,
J.; Hirzel, T. D.; Duvenaud, D.; Maclaurin, D.; Blood-Forsythe, M.
A.; Chae, H. S.; Einzinger, M.; Ha, D. G.; Wu, T., et al. Design of
Efficient Molecular Organic Light-Emitting Diodes by a High-Throughput
Virtual Screening and Experimental Approach. Nat. Mater. 2016, 15, 1120â1127. Copyright 2016 Springer Nature, Nature Materials.",
PMC8391798,cr1c00107_0011.jpg,"DFT
vs ML predicted hull distances of nearly stable compounds (hull
distances smaller than 50 meV/atom) for CGCNN and iCGCNN. The flexibility
of ML approaches enable constructions of robust models tailored for
specific target properties. See ref.",
PMC8391798,cr1c00107_0012.jpg,"Use of different metrics to analyze the synthesis of a
precursor
to lenvatinib. Only the SCScore, a data-driven metric, correctly perceives
a monotonic increase in complexity. ML models can give insights into
which compounds are either reactants or products. Reprinted with permission
from ref. Copyright
2018 American Chemical Society.",
PMC8391798,cr1c00107_0013.jpg,"(A) Decision tree of one of the reaction rules within Chematica
(double stereodifferentiating condensation of esters with aldehydes).
The different conditions in the tree specify the range of admissible
and possible substituents or atom types. (B) Reaction rules are used
to explore the graph of synthetic possibilities (similar to the one
shown here). Each node corresponds to a set of substrates. The combination
of expert chemical knowledge, CompChem calculations and ML enables
finding synthesizable paths. See ref. Reprinted from Chem, 4(3), Klucznik, T., et al., Efficient Syntheses of Diverse,
Medicinally Relevant Targets Planned by Computer and Executed in the
Laboratory, 522â532, Copyright (2018), with permission from
Elsevier.",
PMC8391798,cr1c00107_0014.jpg,"CompChem+ML screening of hypothetical Cu and
Cu-based catalyst
sites. (a) Two-dimensional activity volcano plot for CO2 reduction. TOF, turnover frequency. (b) Two-dimensional selectivity
volcano plot for CO2 reduction. CO and H adsorption energies
in panels a and b were calculated using DFT. Yellow data points are
average adsorption energies of monometallics; green data points are
average adsorption energies of copper alloys; and magenta data points
are average, low-coverage adsorption energies of CuâAl surfaces.
(c) t-SNE representation of approximately
4000 adsorption sites on which DFT calculations were performed with
Cu-containing alloys. The CuâAl clusters are labeled numerically.
(d) Representative coordination sites for each of the clusters labeled
in the t-SNE diagram. Each site archetype is labeled by the stoichiometric
balance of the surface, that is, Al-heavy, Cu-heavy or balanced, and
the binding site of the surface. See ref. Reprinted by permission from Springer Nature
Customer Service Centre GmbH: Springer Nature, Nature. Accelerated discovery of CO2 electrocatalysts using
active machine learning, Zhong, M., et al., Copyright 2020.",
PMC8391798,cr1c00107_0015.jpg,"Estimated price (for one mmol in US dollars)
of the catalysts in
the selected range of â32.1/â23.0 kcal molâ1 (for ligand no. 72-90). The price is calculated as a summation of
the commercial price of transition metal precursors (one mmol) and
one mmol of each ligand. The cheapest complex for each metal is shown
on the right. The estimated price of all the 557 catalysts is detailed
in ref. Published
by The Royal Society of Chemistry.",
PMC8391798,cr1c00107_0016.jpg,"(A) Workflow and timeline for the design
of candidates employing
GENTRL. (B) Representative examples of the initial 30,000 structures
compared to the parent DDR1 kinase inhibitor. (C) Compounds found
to have the highest inhibition activity against human DDR1 kinase.
CompChem+ML methods can considerably accelerate the discovery of drugs
that are effective against a desired target. See ref. Reprinted by permission
from Springer Nature Customer Service Centre GmbH: Springer Nature, Nature Biotechnology. Deep learning enables rapid identification
of potent DDR1 kinase inhibitors, Zhavoronkov, A., et al., Copyright
2019.",
PMC8391798,cr1c00107_0017.jpg,"Vina scores predictions for the isolated
protein (S-protein) and
the protein-receptor complex (interface) for all the molecules in
the BindingDB data sets and some exemplary top cases that satisfy
the screening criteria. ML models trained on accurate CompChem databases
are of upmost importance to efficiently gain insights into possible
treatments, even for newly discovered diseases. Figure taken from
ref. Copyright
2020 American Chemical Society.",
PMC12078339,fcimb-15-1545646-g001.jpg,"The development and application for example machine learning model. The building process of machine learning model is mainly from data processing, feature coding, model training, model evaluation and selection, and finally to test data prediction. The applications in clinical microbiology and infectious diseases are included.",
PMC11123121,microorganisms-12-00842-g001.jpg,Possible applications of machine learning in research and drug design. Figure was made using Canva.,
PMC11123121,microorganisms-12-00842-g002.jpg,Possible applications of machine learning in the clinical setting. Figure was made using Canva.,
PMC7014055,sensors-20-00341-g001.jpg,The flowchart of the proposed method.,
PMC7014055,sensors-20-00341-g002.jpg,(a) A realization of a section of an acquired electroencephalogram in the time domain. (b) A realization of a section of an acquired electroencephalogram in the frequency domain.,
PMC7014055,sensors-20-00341-g003.jpg,The locations of the spikes that need to be suppressed.,
PMC7014055,sensors-20-00341-g004.jpg,(a) The impulsive response of the filtered electroencephalogram. (b) The magnitude response of the filtered electroencephalogram.,
PMC7014055,sensors-20-00341-g005b.jpg,The singular spectrum analysis components obtained by performing the singular spectrum analysis on the filtered electroencephalogram. (a) The first singular spectrum analysis component. (b) The second singular spectrum analysis component. (c) The third singular spectrum analysis component. (d) The fourth singular spectrum analysis component. (e) The fifth singular spectrum analysis component. (f) The sixth singular spectrum analysis component. (g) The seventh singular spectrum analysis component. (h) The eighth singular spectrum analysis component. (i) The ninth singular spectrum analysis component. (j) The tenth singular spectrum analysis component.,
PMC7014055,sensors-20-00341-g006b.jpg,The sums of the singular spectrum analysis components starting from the last singular spectrum analysis component. (a) The last singular spectrum analysis component. (b) The sum of the last two singular spectrum analysis components. (c) The sum of the last three singular spectrum analysis components. (d) The sum of the last four singular spectrum analysis components. (e) The sum of the last five singular spectrum analysis components. (f) The sum of the last six singular spectrum analysis components. (g) The sum of the last seven singular spectrum analysis components. (h) The sum of the last eight singular spectrum analysis components. (i) The sum of the last nine singular spectrum analysis components. (j) The sum of all the singular spectrum analysis components.,
PMC7014055,sensors-20-00341-g007.jpg,(a) The first scale of the electroencephalogram. (b) The residue of the electroencephalogram.,
PMC7014055,sensors-20-00341-g008.jpg,(a) The low-rank component after performing the low-rank decomposition on the residue of the electroencephalogram. (b) The sparse component after performing the low-rank decomposition on the residue of the electroencephalogram.,
PMC7014055,sensors-20-00341-g009.jpg,The second scale of the electroencephalogram.,
PMC7014055,sensors-20-00341-g010b.jpg,(a) The second scale of the electroencephalogram in the time domain. (b) The fourth scale of the electroencephalogram in the time domain. (c) The sixth scale of the electroencephalogram in the time domain. (d) The eighth scale of the electroencephalogram in the time domain. (e) The tenth scale of the electroencephalogram in the time domain.,
PMC7014055,sensors-20-00341-g011b.jpg,(a) The second scale of the electroencephalogram in the frequency domain. (b) The fourth scale of the electroencephalogram in the frequency domain. (c) The sixth scale of the electroencephalogram in the frequency domain. (d) The eighth scale of the electroencephalogram in the frequency domain. (e) The tenth scale of the electroencephalogram in the frequency domain.,
PMC7014055,sensors-20-00341-g012.jpg,(a) The despiked electroencephalogram based on the same set of the threshold values for a new realization of an electroencephalogram. (b) The despiked electroencephalogram based on the same set of the threshold values for a new realization of an electroencephalogram.,
PMC7014055,sensors-20-00341-g013.jpg,(a) The despiked electroencephalogram in the time domain reconstructed using the last five intrinsic mode functions. (b) The despiked electroencephalogram in the time domain reconstructed using the last seven intrinsic mode functions. (c) The despiked electroencephalogram in the time domain reconstructed using the last nine intrinsic mode functions.,
PMC7014055,sensors-20-00341-g014.jpg,(a) The despiked electroencephalogram in the frequency domain reconstructed using the last five intrinsic mode functions. (b) The despiked electroencephalogram in the frequency domain reconstructed using the last seven intrinsic mode functions. (c) The despiked electroencephalogram in the frequency domain reconstructed using the last nine intrinsic mode functions.,
PMC7014055,sensors-20-00341-g015.jpg,The despiked electroencephalograms obtained based on our proposed method and the conventional empirical mode decomposition-based method.,
PMC7014055,sensors-20-00341-g016.jpg,(a) The reconstructed electroencephalogram in the frequency domain obtained based on our proposed method. (b) The reconstructed electroencephalogram in the frequency domain obtained based on the conventional empirical mode decomposition-based method. (c) The reconstructed electroencephalogram in the frequency domain obtained based on the conventional singular spectrum analysis-based method. (d) The reconstructed electroencephalograms in the frequency domain obtained based on the conventional low-rank decomposition-based method.,
PMC7014055,sensors-20-00341-g017.jpg,The reconstructed electroencephalograms obtained based on our proposed method and the conventional singular spectrum analysis-based method.,
PMC7014055,sensors-20-00341-g018.jpg,The electroencephalograms obtained based on our proposed method and the conventional low-rank decomposition-based method.,
PMC7014055,sensors-20-00341-g019.jpg,(a) The clean signal . (b) The spike signal . (c) The synthetic signal .,
PMC7710120,nihms-1644513-f0003.jpg,"Vibrational frequency mapping with solvent electric potential and field. The vibrational frequency Ï of a normal mode of an IR probe is mapped onto a set of points, called distributed sites, that interact with the electrostatic potential Ï and electric field E exerted by the molecular environment. Note that the map parameters Îqx, which are vibrational solvatochromic charges, are scalar quantities whereas ÎÎ¼x, which are vibrational solvatochromic dipoles, are Cartesian vectors. The vibrational reference frequency, Ï0, which could also be a part of the map, corresponds to that of the IR probe in the absence of solvent electrostatic potential and electric field.",
PMC7710120,nihms-1644513-f0004.jpg,"Schematic diagram of the 2D IR spectra of two oscillators. The x and y axes represent the excitation (pump) and emission (probe) frequencies, respectively. Here, it should be mentioned that sometimes 2D spectra are plotted with the two axes swapped. Two diagonal peaks with positive (red) amplitudes originate from the ground-state bleach and stimulated emission, whereas those with negative (blue) amplitudes are from the excited-state absorption. The center line slope (CLS) and nodal line slope (NLS) are related to the frequency-frequency correlation function and the inhomogeneity of the transition frequencies. If the two oscillators are coupled with each other via wave function overlap, one can find cross-peaks at zero waiting time. If the two oscillators exchange energy or undergo chemical exchange, the cross-peaks in the off-diagonal region of the 2D IR spectrum appear as the waiting time, Tw, increases.",
PMC7710120,nihms-1644513-f0005.jpg,"Left: Nitrile stretching mode frequencies of acetonitrile (MeCN, closed squares) and methyl thiocyanate (MeSCN, open circles) plotted with respect to the hydrogen-bond angle, Î¸, between the nitrileâs N atom and the hydrogen atom of the H-bonded water molecule. Reproduced from Figure 2 of Ref. Copyright 2008 AIP Puplishing. Right: Experimentally measured mean nitrile vibrational frequency plotted with respect to the average value of Î¸ from MD simulations of nine variants of GFP containing p-cyanophenylalanine (given in the figure key). Reproduced from Figure 8(B) of Ref. Copyright 2018 The American Chemical Society.",
PMC7710120,nihms-1644513-f0006.jpg,"(a) Summary of the models used for spectral calculations. Parametrized sites are shown in red. The red shading in the MF model schematically indicates the transition charge region for sampling. Cho-Potential model 1 (CP1) utilized parametrized partial charges whereas other models utilize partial charges defined in MD simulations. Knoester-Field model 1 (KF1) utilized NNFS maps. (b) The amide-I local mode frequency shifts calculated with the six models for the restrained trajectory. Blue circles: solvent contributions ; red circles: peptide backbone and side-chain contributions ; black circles: total shifts . The vertical bars indicate the range enclosed by Â± one standard deviation (Ïi). Green symbols with solid and dash lines in KF1 are the NNFS and electrostatic contributions in , respectively. Reproduced from Table 1 and Figure 8 of Ref. Copyright 2009 The American Chemical Society.",
PMC7710120,nihms-1644513-f0007.jpg,"The linear and 2D IR spectra calculated with the CP1, CP2, KP, KF1, KF2, and MF models for the restrained trajectory. The number in the upper right corner of the FT IR spectrum panel indicates the frequency shift (in cmâ1) applied to the calculated spectra. Red and black lines in the linear spectra correspond to the simulated and experimental data, respectively. Reproduced from Figure 7 of Ref.. Copyright 2009 The American Chemical Society.",
PMC7710120,nihms-1644513-f0008.jpg,Structure and 2D IR spectra of isotope-labeled hIAPP from reference. The sequence (A) and structural model (B) of hIAPP with the 13C=18O isotope labels highlighted. 2D IR spectra and the diagonal intensity slices of the lag-phase and equilibrium phase V17 (C sand D) and F23 (E and F) labeled proteins. The boxes and arrows indicate the 13C=18O labeled modes. Reproduced from Figure 1 of Ref. Copyright 2013 the National Academy of Sciences of the United States of America.,
PMC7710120,nihms-1644513-f0009.jpg,(A) Sequence of the macrocycle with the isotope labeled positions highlighted. (B) Comparison of experimental and theoretical 2D IR line widths. The theoretical spectra are calculated using various coupling schemes. Reproduced from Figure 1A and Figure 6 of Ref. Copyright 2012 American Chemical Society.,
PMC7710120,nihms-1644513-f0010.jpg,"(Taken from Figure 8 of Ref) Comparison of the frequencies, line widths, and intensities of experimental spectra with simulated spectra starting from MD simulations of the crystal structure of the protein G mutant NuG2b. Copyright 2016 Annual Reviews.",
PMC7710120,nihms-1644513-f0011.jpg,"Molecular structures of alanine dipeptide in the upper panel. IR and VCD spectra of amide I, II, and III modes are displayed for its RHH and PII conformations in the bottom panel. The blue solid and red dashed lines correspond to the simulated spectra obtained from DFT calculation and the fragment approximation, respectively. Reproduced from Figures 1, 3, and 4 of Ref.. Copyright 2009 Elsevier.",
PMC7710120,nihms-1644513-f0012.jpg,"Nearest-neighbor amide I/I, I/II, II/I, and II/II coupling maps calculated for AcGlyNHMe at the B3LYP/6â31+G(d) level with fixed dihedral angles. All four maps are plotted in a single color scale and the unit of couplings is cmâ1. Reproduced from Figure 8 of Ref.. Copyright 2009 The American Chemical Society.",
PMC7710120,nihms-1644513-f0013.jpg,"Experimental (black) and simulated (red) linear IR spectra of a 310-helical hexapeptide Z-Aib-L-Leu-(Aib)2-Gly-OtBu in CDCl3 in the amide I and II regions. B1, B2, and B3 are six-site potential models, K is a four-site field/gradient model, G is a four-site potential model, and Em is a semiempirical model. The local amide I frequency was shifted from the gas phase value by the value reported in each panel. Reproduced from Figure 8 of Ref.. Copyright 2010 The American Chemical Society.",
PMC7710120,nihms-1644513-f0014.jpg,Experimental and simulated absolute 2D IR rephasing (top) and nonrephasing (bottom) spectra of a 310-helical hexapeptide Z-Aib-L-Leu-(Aib)2-Gly-OtBu in the amide II frequency region. Each spectrum is normalized by the peak intensity of the diagonal amide II band. Reproduced from Figure 10 of Ref.. Copyright 2010 The American Chemical Society.,
PMC7710120,nihms-1644513-f0015.jpg,Solvatochromic charge model with distributed interaction sites for MeCN in the upper panel. The calculated nitrile stretching mode frequency shift using Eq. (109) is directly compared to the DFT calculation results in (a). The numerically simulated IR spectrum of the CN stretch mode (solid red line) is plotted with the experimentally measured result (blue dashed line) in (b). The figure of the interaction sites and (a) is reproduced from Figure 5(a) Ref. and (b) is reproduced from Figure 10(a) of Ref.. Copyright 2008 AIP Puplishing.,
PMC7710120,nihms-1644513-f0016.jpg,Solvatochromic charge model with distributed interaction sites for MeSCN in the upper panel. The y-axis in (a) corresponds to the thiocyanato stretch mode frequency obtained with Eq. (109) and the x-axis to the DFT calculated results. The numerically simulated IR spectrum of the SCN stretch mode (red solid line) is plotted with the experimentally measured result (blue dashed line) in (b). The figure of the interaction sites and (a) is reproduced from Figure 5(b) of Ref. and (b) is reproduced from Figure 10(b) of Ref.. Copyright 2008 AIP Puplishing.,
PMC7710120,nihms-1644513-f0017.jpg,Solvatochromic charge model with distributed interaction sites for MeN3 in the upper panel. The y-axis in the bottom panel represents the azido stretch mode frequency obtained with Eq. (109) and the x-axis to the DFT calculated results. Reproduced from Figures 4(b) and 5 of Ref.. Copyright 2008 AIP Puplishing.,
PMC7710120,nihms-1644513-f0018.jpg,(a) Azido group in the hydrophobic pocket of Met1Aha NTL9 mutant (b) fully hydrated azido group of Ile4Aha NTL9 mutant. The numerically calculated IR spectra of the azido stretch mode (solid red line) of Met1Aha in (c) and Ile4Aha in (d) are displayed with the experimental results (blue dashed line). Reproduced from Figures 1 and 4 of Ref.. Copyright 2011 The American Chemical Society.,
PMC7710120,nihms-1644513-f0019.jpg,"The heme-CO complex, a distributed solvatochromic charge model of the top panel, is shown along with model compounds such as neutral histidine, positively charged histidine protonated at the atom of NÎµ or NÎ´, positively charged arginine and water molecules. In the bottom panel, the frequency shift of the CO stretch mode theoretically obtained from the Eq. (109) is compared with the DFT calculation result. Reproduced from Figures 1 and 2 of Ref.. Copyright 2013 The American Chemical Society.",
PMC7710120,nihms-1644513-f0020.jpg,(a) Protein structures obtained from MD simulation of native MbCO in (a) and the double mutant MbCO in (b). The double mutant has two substituted residues of Arg67 (R67) and Asp92 (D92) instead of Thr67 (T67) and Ser92 (S92) in the wild type. The numerically calculated IR spectra of the CO stretch mode (solid red line) of native MbCO in (c) and the double mutant in (d) are displayed with the experimental results (blue dashed line). Reproduced from Figures 4 and 9 of Ref.. Copyright 2013 The American Chemical Society.,
PMC7710120,nihms-1644513-f0021.jpg,"Comparison between computed and experimental CO center frequencies and line widths in all solvents. Solvents used to parametrize the map are indicated in blue, and solvents used to evaluate the map performance are shown in red. The solvents are labeled Ether = diethyl ether, THF = tetrahydrofuran, MeCN = acetonitrile, HexOH = hexanol, EtOH = ethanol, MeOH = methanol, BuOH = butanol, IPA = isopropanol, and DEG = diethylene glycol. Reproduced from Figure 7 of Ref.. Copyright 2016 The American Chemical Society.",
PMC7710120,nihms-1644513-f0022.jpg,"Reproduced with permission from Figure 2 of Ref.. (a) DFT calculations of the OH stretch vibrational frequency, Ï10, of HOD in various environments, including (black) a gas-phase monomer, (red) a water hexamer at 80 K, (blue) liquid water, (green) ice Ih at 100 K, and (orange) the water/vacuum interface. The dashed line is a spectroscopic map in terms of the electric field, E, along the OH bond evaluated at the site of the H atom. (b) Calculated anharmonicity, Î, of the OH vibration. Copyright 2013 The American Chemical Society.",
PMC7710120,nihms-1644513-f0023.jpg,"Experimental and computed IR absorption spectra of the S=O stretching mode at different concentrations in binary DMSO/water mixtures. Computed spectra were obtained using the map of Oh and Baiz. Vertical bars represent the average experimental frequencies of the four DMSO species present in solution: singly hydrogen-bonded (1HB), doubly-hydrogen bonded (2HB), Aggregate (Agg), and non-hydrogen bonded (Free) from low to high frequency respectively. Adapted from Figure 1 of Ref. Copyright 2019 AIP Puplishing.",
PMC7710120,nihms-1644513-f0024.jpg,Coordinate systems of the (a) C=O and (b) C=C vibrational frequency maps. The atoms used to define the axes are shown in red. Reproduced from Figure 4 of Ref.. Copyright 2019 The American Chemical Society.,
PMC7710120,nihms-1644513-f0025.jpg,Theoretical and experimental IR spectra of (a) deoxycytidine 5â-monophosphate and (b) inosine 5â-monophosphate in D2O. The chemical structures of the molecules are shown in the insets with their chromophores highlighted in red. Reproduced from Figure 7 and Figure 9 of Ref.. Copyright 2019 The American Chemical Society.,
PMC7710120,nihms-1644513-f0026.jpg,"Schematic diagram of the procedure from the relative contributions cn to the RMSE value, dRMSE.",
PMC7710120,nihms-1644513-f0027.jpg,"(a-d) Magnitude of relative contributions ci when we use as a training set (a) 1W, (b) 2â5W, (c) 6â35W, and (d) 50W set. (e) Relative contributions ci for the training set of the study in Ref. Reproduced from Figure 10 of Ref.. Copyright 2019 AIP Puplishing.",
PMC7710120,nihms-1644513-f0028.jpg,"RMSE in transition frequency and dipole derivative of the OH-stretch (blue line) local mode depending on which atomsâ local chemical environment is used as an input to ANN (marked in red). The leftmost set of bars corresponds to RMSEs of the spectroscopic maps developed in Ref, all others correspond to the Î -ML approach of ref. (Adapted from Figure 2 of Ref.) Copyright 2019 The American Chemical Society.",
PMC7710120,nihms-1644513-f0029.jpg,The plot of the training and the validation RMSE values as a function of elapsed epochs in the training of the feed forward neural network model with the unscaled terms of the polynomial function. Adapted from Figures 7 and 8(a) of Ref. Copyright 2020 AIP Puplishing.,
PMC8813814,10548_2021_828_Fig1_HTML.jpg,Electrophysiology of neural activity and EEG at different scales,
